idx         -e        time(s)           relative         enabled geometry description                                              
298       t117         0.0137             0.9199         EXCL: NNVTMCPPMTTail                                                      
299        t74         0.0137             0.9225         EXCL: GZ1.B06_07_FlangeI_Web_FlangeII                                     
300        t27         0.0137             0.9248         EXCL: GLw1.up01_up02_FlangeI_Web_FlangeII                                 
301        t22         0.0137             0.9250         EXCL: GLw1.up06_up07_FlangeI_Web_FlangeII                                 
302        t97         0.0138             0.9254         EXCL: sStrut                                                              
303        t81         0.0138             0.9258         EXCL: ZC2.A03_B04_FlangeI_Web_FlangeII                                    
304        t65         0.0138             0.9261         EXCL: GZ1.A03_04_FlangeI_Web_FlangeII                                     
305        t60         0.0138             0.9265         EXCL: GLb3.bt09_FlangeI_Web_FlangeII                                      
306       t144         0.0138             0.9266         EXCL: sBottomRock                                                         
307       t122         0.0138             0.9278         EXCL: NNVTMCPPMT_PMT_20inch_inner_solid_head                              
308        t80         0.0138             0.9280         EXCL: ZC2.A02_B03_FlangeI_Web_FlangeII                                    
309         t3         0.0138             0.9282         EXCL: PoolCoversub                                                        
310        t85         0.0138             0.9303         EXCL: ZC2.B01_B01_FlangeI_Web_FlangeII                                    
311        t59         0.0138             0.9306         EXCL: GLb1.bt08_FlangeI_Web_FlangeII                                      
312        t35         0.0138             0.9307         EXCL: GLw1.bt06_bt07_FlangeI_Web_FlangeII                                 
313       t138         0.0138             0.9308         EXCL: PMT_20inch_veto_inner2_solid                                        
314        t63         0.0138             0.9316         EXCL: GZ1.A01_02_FlangeI_Web_FlangeII                                     
315        t13         0.0138             0.9318         EXCL: sWall                                                               
316        t91         0.0139             0.9328         EXCL: solidSJFixture                                                      
317       t129         0.0139             0.9329         EXCL: PMT_3inch_pmt_solid                                                 
318        t72         0.0139             0.9332         EXCL: GZ1.B04_05_FlangeI_Web_FlangeII                                     
319         t5         0.0139             0.9336         EXCL: Upper_Steel_tube                                                    
320        t32         0.0139             0.9339         EXCL: GLw2.bt03_bt04_FlangeI_Web_FlangeII                                 
321       t124         0.0139             0.9340         EXCL: NNVTMCPPMTsMask_virtual                                             
322        t93         0.0139             0.9344         EXCL: solidSJReceiverFastern                                              
323        t76         0.0139             0.9347         EXCL: ZC2.A03_B03_FlangeI_Web_FlangeII                                    
324       t137         0.0139             0.9347         EXCL: PMT_20inch_veto_inner1_solid                                        
325       t126         0.0139             0.9347         EXCL: PMT_3inch_inner2_solid_ell_helper                                   
326        t67         0.0139             0.9351         EXCL: GZ1.A05_06_FlangeI_Web_FlangeII                                     
327        t86         0.0139             0.9351         EXCL: ZC2.B03_B03_FlangeI_Web_FlangeII                                    
328       t133         0.0139             0.9352         EXCL: sWaterTube                                                          
329        t11         0.0139             0.9353         EXCL: sPanel                                                              
330        t66         0.0139             0.9354         EXCL: GZ1.A04_05_FlangeI_Web_FlangeII                                     
331        t83         0.0139             0.9364         EXCL: ZC2.A05_B06_FlangeI_Web_FlangeII                                    
332        t30         0.0139             0.9366         EXCL: GLw3.bt01_bt02_FlangeI_Web_FlangeII                                 
333       t128         0.0139             0.9367         EXCL: PMT_3inch_cntr_solid                                                
334       t131         0.0139             0.9369         EXCL: sChimneyLS                                                          
335       t115         0.0139             0.9373         EXCL: HamamatsuR12860sMask_virtual                                        
336        t68         0.0140             0.9422         EXCL: GZ1.A06_07_FlangeI_Web_FlangeII                                     
337        t42         0.0140             0.9433         EXCL: GLb3.up09_FlangeI_Web_FlangeII                                      
338        t53         0.0141             0.9463         EXCL: GLb1.bt02_FlangeI_Web_FlangeII                                      
339        t70         0.0142             0.9566         EXCL: GZ1.B02_03_FlangeI_Web_FlangeII                                     
340        t47         0.0143             0.9594         EXCL: GLb1.up04_FlangeI_Web_FlangeII                                      
341         t1         0.0143             0.9623         EXCL: sTopRock_dome                                                       
342       t104         0.0143             0.9630         EXCL: HamamatsuR12860sMask                                                
343        t33         0.0144             0.9662         EXCL: GLw2.bt04_bt05_FlangeI_Web_FlangeII                                 
344       t134         0.0144             0.9701         EXCL: sInnerWater                                                         
345       t132         0.0144             0.9709         EXCL: sChimneySteel                                                       
346         t2         0.0145             0.9750         EXCL: sDomeRockBox                                                        
347         t0         0.0145             0.9786         EXCL: sTopRock_domeAir                                                    
348        t43         0.0146             0.9840         EXCL: GLb2.up08_FlangeI_Web_FlangeII                                      
349       t105         0.0146             0.9854         EXCL: HamamatsuR12860Tail                                                 
350        t49         0.0147             0.9886         EXCL: GLb1.up02_FlangeI_Web_FlangeII                                      
351        t38         0.0147             0.9891         EXCL: GLw1.bt09_bt10_FlangeI_Web_FlangeII                                 
352        t94         0.0147             0.9894         EXCL: sTarget                                                             
353       t146         0.0147             0.9900         EXCL: solidSJReceiverFastern                                              
354         t8         0.0147             0.9900         EXCL: sBar                                                                
355        t55         0.0147             0.9913         EXCL: GLb2.bt04_FlangeI_Web_FlangeII                                      
356       t113         0.0147             0.9914         EXCL: HamamatsuR12860_PMT_20inch_inner_solid_1_4                          
357       t143         0.0147             0.9915         EXCL: sPoolLining                                                         
358       t139         0.0147             0.9920         EXCL: PMT_20inch_veto_body_solid_1_2                                      
359        t16         0.0148             0.9927         EXCL: sExpRockBox                                                         
360       t100         0.0148             0.9939         EXCL: base_steel                                                          
361       t136         0.0148             0.9950         EXCL: mask_PMT_20inch_vetosMask                                           
362        t62         0.0148             0.9961         EXCL: GLb3.bt11_FlangeI_Web_FlangeII                                      
363        t57         0.0148             0.9962         EXCL: GLb1.bt06_FlangeI_Web_FlangeII                                      
364       t110         0.0148             0.9964         EXCL: HamamatsuR12860_PMT_20inch_dynode_tube_solid                        
365        t64         0.0148             0.9968         EXCL: GZ1.A02_03_FlangeI_Web_FlangeII                                     
366        t84         0.0148             0.9973         EXCL: ZC2.A06_B07_FlangeI_Web_FlangeII                                    
367        t78         0.0148             0.9974         EXCL: ZC2.A05_B05_FlangeI_Web_FlangeII                                    
368        t19         0.0148             0.9974         EXCL: GLw1.up09_up10_FlangeI_Web_FlangeII                                 
369       t123         0.0148             0.9974         EXCL: NNVTMCPPMT_PMT_20inch_pmt_solid_head                                
370        t44         0.0148             0.9975         EXCL: GLb2.up07_FlangeI_Web_FlangeII                                      
371       t147         0.0148             0.9976         EXCL: uni1                                                                
372        t10         0.0148             0.9978         EXCL: sPanelTape                                                          
373        t75         0.0148             0.9979         EXCL: ZC2.A02_B02_FlangeI_Web_FlangeII                                    
374         t9         0.0148             0.9982         EXCL: sBar                                                                
375       t109         0.0148             0.9982         EXCL: HamamatsuR12860_PMT_20inch_inner_ring_solid                         
376       t114         0.0148             0.9985         EXCL: HamamatsuR12860_PMT_20inch_pmt_solid_1_4                            
377        t52         0.0148             0.9985         EXCL: GLb2.bt01_FlangeI_Web_FlangeII                                      
378        t82         0.0148             0.9988         EXCL: ZC2.A04_B05_FlangeI_Web_FlangeII                                    
379        t26         0.0148             0.9989         EXCL: GLw1.up02_up03_FlangeI_Web_FlangeII                                 
380        t50         0.0148             0.9990         EXCL: GLb1.up01_FlangeI_Web_FlangeII                                      
381        t20         0.0148             0.9991         EXCL: GLw1.up08_up09_FlangeI_Web_FlangeII                                 
382         t7         0.0148             0.9992         EXCL: Upper_Chimney                                                       
383        t15         0.0148             0.9992         EXCL: sExpHall                                                            
384       t108         0.0148             0.9993         EXCL: HamamatsuR12860_PMT_20inch_inner_edge_solid                         
385        t90         0.0149             0.9995         EXCL: solidSJCLSanchor                                                    
386        t88         0.0149             0.9995         EXCL: ZC2.A03_A03_FlangeI_Web_FlangeII                                    
387        t92         0.0149             0.9997         EXCL: solidSJReceiver                                                     
388         t6         0.0149             0.9999         EXCL: Upper_Tyvek_tube                                                    
389       t119         0.0149             0.9999         EXCL: NNVTMCPPMT_PMT_20inch_plate_solid                                   
390          t         0.0149             1.0000         ALL                                                                       
391       t127         0.0149             1.0001         EXCL: PMT_3inch_body_solid_ell_ell_helper                                 
392        t21         0.0149             1.0004         EXCL: GLw1.up07_up08_FlangeI_Web_FlangeII                                 
393       t140         0.0149             1.0006         EXCL: PMT_20inch_veto_pmt_solid_1_2                                       
394        t96         0.0149             1.0009         EXCL: sStrut                                                              
395       t125         0.0149             1.0009         EXCL: PMT_3inch_inner1_solid_ell_helper                                   
396       t111         0.0149             1.0009         EXCL: HamamatsuR12860_PMT_20inch_grid_solid                               
397       t121         0.0149             1.0015         EXCL: NNVTMCPPMT_PMT_20inch_mcp_solid                                     
398         t4         0.0149             1.0016         EXCL: Upper_LS_tube                                                       
399       t141         0.0149             1.0017         EXCL: mask_PMT_20inch_vetosMask_virtual                                   
400       t118         0.0149             1.0021         EXCL: NNVTMCPPMT_PMT_20inch_edge_solid                                    
401        t69         0.0149             1.0021         EXCL: GZ1.B01_02_FlangeI_Web_FlangeII                                     
402        t18         0.0149             1.0022         EXCL: GLw1.up10_up11_FlangeI_Web_FlangeII                                 
403        t34         0.0149             1.0022         EXCL: GLw1.bt05_bt06_FlangeI_Web_FlangeII                                 
404       t106         0.0149             1.0023         EXCL: HamamatsuR12860_PMT_20inch_plate_solid                              
405        t54         0.0149             1.0026         EXCL: GLb2.bt03_FlangeI_Web_FlangeII                                      
406        t98         0.0149             1.0028         EXCL: sStrutBallhead                                                      
407        t36         0.0149             1.0035         EXCL: GLw1.bt07_bt08_FlangeI_Web_FlangeII                                 
408        t77         0.0149             1.0038         EXCL: ZC2.A04_B04_FlangeI_Web_FlangeII                                    
409        t99         0.0149             1.0044         EXCL: uni1                                                                
410        t61         0.0149             1.0045         EXCL: GLb3.bt10_FlangeI_Web_FlangeII                                      
411        t14         0.0149             1.0046         EXCL: sAirTT                                                              
412        t25         0.0149             1.0048         EXCL: GLw1.up03_up04_FlangeI_Web_FlangeII                                 
413        t79         0.0149             1.0051         EXCL: ZC2.A06_B06_FlangeI_Web_FlangeII                                    
414        t51         0.0149             1.0056         EXCL: GLb2.equ_FlangeI_Web_FlangeII                                       
415        t24         0.0149             1.0060         EXCL: GLw1.up04_up05_FlangeI_Web_FlangeII                                 
416        t56         0.0150             1.0063         EXCL: GLb1.bt05_FlangeI_Web_FlangeII                                      
417        t41         0.0150             1.0076         EXCL: GLb4.up10_FlangeI_Web_FlangeII                                      
418        t58         0.0150             1.0083         EXCL: GLb1.bt07_FlangeI_Web_FlangeII                                      
419        t46         0.0150             1.0092         EXCL: GLb1.up05_FlangeI_Web_FlangeII                                      
420        t45         0.0150             1.0094         EXCL: GLb2.up06_FlangeI_Web_FlangeII                                      
421        t48         0.0150             1.0123         EXCL: GLb1.up03_FlangeI_Web_FlangeII                                      
422        t87         0.0151             1.0133         EXCL: ZC2.B05_B05_FlangeI_Web_FlangeII                                    
423       t102         0.0151             1.0138         EXCL: solidXJanchor                                                       
424        t71         0.0151             1.0152         EXCL: GZ1.B03_04_FlangeI_Web_FlangeII                                     
425        t40         0.0151             1.0155         EXCL: GLb3.up11_FlangeI_Web_FlangeII                                      
426       t101         0.0151             1.0173         EXCL: uni_acrylic1                                                        
427       t142         0.0153             1.0265         EXCL: sOuterWaterPool                                                     
428       t130         0.0153             1.0271         EXCL: sChimneyAcrylic                                                     
429        t73         0.0153             1.0297         EXCL: GZ1.B05_06_FlangeI_Web_FlangeII                                     
430        t37         0.0153             1.0298         EXCL: GLw1.bt08_bt09_FlangeI_Web_FlangeII                                 
431       t120         0.0153             1.0328         EXCL: NNVTMCPPMT_PMT_20inch_tube_solid                                    
432        t39         0.0154             1.0340         EXCL: GLw1.bt10_bt11_FlangeI_Web_FlangeII                                 
433        t28         0.0154             1.0382         EXCL: GLw2.equ_up01_FlangeI_Web_FlangeII                                  
434        t17         0.0154             1.0389         EXCL: sTopRock                                                            
435        t12         0.0155             1.0401         EXCL: sPlane                                                              
436        t23         0.0155             1.0404         EXCL: GLw1.up05_up06_FlangeI_Web_FlangeII                                 
437       t112         0.0155             1.0426         EXCL: HamamatsuR12860_PMT_20inch_shield_solid                             
438       t107         0.0155             1.0427         EXCL: HamamatsuR12860_PMT_20inch_outer_edge_solid                         
439        t31         0.0155             1.0429         EXCL: GLw3.bt02_bt03_FlangeI_Web_FlangeII                                 
440        t89         0.0155             1.0436         EXCL: ZC2.A05_A05_FlangeI_Web_FlangeII                                    
441       t145         0.0198             1.3315         EXCL: sWorld                                                              
442        103         0.0255             1.7182         ONLY: solidXJfixture                                                      
idx         -e        time(s)           relative         enabled geometry description                                              
