idx         -e        time(s)           relative         enabled geometry description                                              
 71         48         0.0028             0.1916         ONLY: GLb1.up03_FlangeI_Web_FlangeII                                      
 72         53         0.0028             0.1917         ONLY: GLb1.bt02_FlangeI_Web_FlangeII                                      
 73         60         0.0028             0.1918         ONLY: GLb3.bt09_FlangeI_Web_FlangeII                                      
 74         14         0.0029             0.1918         ONLY: sAirTT                                                              
 75         66         0.0029             0.1920         ONLY: GZ1.A04_05_FlangeI_Web_FlangeII                                     
 76         49         0.0029             0.1925         ONLY: GLb1.up02_FlangeI_Web_FlangeII                                      
 77         79         0.0029             0.1933         ONLY: ZC2.A06_B06_FlangeI_Web_FlangeII                                    
 78         59         0.0029             0.1940         ONLY: GLb1.bt08_FlangeI_Web_FlangeII                                      
 79         32         0.0029             0.1943         ONLY: GLw2.bt03_bt04_FlangeI_Web_FlangeII                                 
 80         24         0.0029             0.1943         ONLY: GLw1.up04_up05_FlangeI_Web_FlangeII                                 
 81         64         0.0029             0.1943         ONLY: GZ1.A02_03_FlangeI_Web_FlangeII                                     
 82         43         0.0029             0.1945         ONLY: GLb2.up08_FlangeI_Web_FlangeII                                      
 83         83         0.0029             0.1953         ONLY: ZC2.A05_B06_FlangeI_Web_FlangeII                                    
 84         36         0.0029             0.1961         ONLY: GLw1.bt07_bt08_FlangeI_Web_FlangeII                                 
 85         42         0.0029             0.1962         ONLY: GLb3.up09_FlangeI_Web_FlangeII                                      
 86          4         0.0029             0.1964         ONLY: Upper_LS_tube                                                       
 87         23         0.0029             0.1965         ONLY: GLw1.up05_up06_FlangeI_Web_FlangeII                                 
 88        100         0.0029             0.1966         ONLY: base_steel                                                          
 89         37         0.0029             0.1974         ONLY: GLw1.bt08_bt09_FlangeI_Web_FlangeII                                 
 90         35         0.0029             0.1977         ONLY: GLw1.bt06_bt07_FlangeI_Web_FlangeII                                 
 91         97         0.0029             0.1984         ONLY: sStrut                                                              
 92         34         0.0030             0.1986         ONLY: GLw1.bt05_bt06_FlangeI_Web_FlangeII                                 
 93        121         0.0030             0.1990         ONLY: NNVTMCPPMT_PMT_20inch_mcp_solid                                     
 94        141         0.0030             0.1996         ONLY: mask_PMT_20inch_vetosMask_virtual                                   
 95         41         0.0030             0.1996         ONLY: GLb4.up10_FlangeI_Web_FlangeII                                      
 96        131         0.0030             0.1997         ONLY: sChimneyLS                                                          
 97         13         0.0030             0.2001         ONLY: sWall                                                               
 98         84         0.0030             0.2006         ONLY: ZC2.A06_B07_FlangeI_Web_FlangeII                                    
 99         21         0.0030             0.2011         ONLY: GLw1.up07_up08_FlangeI_Web_FlangeII                                 
100         20         0.0030             0.2022         ONLY: GLw1.up08_up09_FlangeI_Web_FlangeII                                 
101         61         0.0030             0.2041         ONLY: GLb3.bt10_FlangeI_Web_FlangeII                                      
102          8         0.0030             0.2043         ONLY: sBar                                                                
103         30         0.0030             0.2046         ONLY: GLw3.bt01_bt02_FlangeI_Web_FlangeII                                 
104        133         0.0030             0.2049         ONLY: sWaterTube                                                          
105        125         0.0030             0.2052         ONLY: PMT_3inch_inner1_solid_ell_helper                                   
106        127         0.0031             0.2053         ONLY: PMT_3inch_body_solid_ell_ell_helper                                 
107         96         0.0031             0.2057         ONLY: sStrut                                                              
108          1         0.0031             0.2064         ONLY: sTopRock_dome                                                       
109        139         0.0031             0.2067         ONLY: PMT_20inch_veto_body_solid_1_2                                      
110        101         0.0031             0.2076         ONLY: uni_acrylic1                                                        
111        140         0.0031             0.2076         ONLY: PMT_20inch_veto_pmt_solid_1_2                                       
112          2         0.0031             0.2093         ONLY: sDomeRockBox                                                        
113         38         0.0031             0.2093         ONLY: GLw1.bt09_bt10_FlangeI_Web_FlangeII                                 
114        134         0.0031             0.2096         ONLY: sInnerWater                                                         
115         19         0.0031             0.2100         ONLY: GLw1.up09_up10_FlangeI_Web_FlangeII                                 
116         18         0.0031             0.2101         ONLY: GLw1.up10_up11_FlangeI_Web_FlangeII                                 
117        107         0.0032             0.2124         ONLY: HamamatsuR12860_PMT_20inch_outer_edge_solid                         
118         40         0.0032             0.2137         ONLY: GLb3.up11_FlangeI_Web_FlangeII                                      
119        143         0.0032             0.2142         ONLY: sPoolLining                                                         
120         17         0.0032             0.2144         ONLY: sTopRock                                                            
121         16         0.0032             0.2146         ONLY: sExpRockBox                                                         
122        112         0.0032             0.2146         ONLY: HamamatsuR12860_PMT_20inch_shield_solid                             
123        138         0.0032             0.2154         ONLY: PMT_20inch_veto_inner2_solid                                        
124        137         0.0032             0.2159         ONLY: PMT_20inch_veto_inner1_solid                                        
125        145         0.0032             0.2160         ONLY: sWorld                                                              
126        119         0.0033             0.2189         ONLY: NNVTMCPPMT_PMT_20inch_plate_solid                                   
127        120         0.0033             0.2206         ONLY: NNVTMCPPMT_PMT_20inch_tube_solid                                    
128        129         0.0033             0.2215         ONLY: PMT_3inch_pmt_solid                                                 
129        118         0.0033             0.2218         ONLY: NNVTMCPPMT_PMT_20inch_edge_solid                                    
130          5         0.0033             0.2254         ONLY: Upper_Steel_tube                                                    
131          6         0.0034             0.2300         ONLY: Upper_Tyvek_tube                                                    
